Class,Precision,Recall,F1-Score,Support
Non-Violent,0.8966,0.7718,0.8296,17391
Violent,0.1876,0.3718,0.2493,2464
--- MACRO AVG ---,0.5421,0.5718,0.5394,19855
--- WEIGHTED AVG ---,0.8086,0.7222,0.7575,19855
