Class,Precision,Recall,F1-Score,Support
Administrative,0.5935,0.2715,0.3726,9738
Drugs,0.164,0.7562,0.2695,648
Property Crime,0.4905,0.64,0.5554,7481
Public Order,0.0435,0.0831,0.0571,421
Violence,0.1386,0.1633,0.1499,1555
--- MACRO AVG ---,0.286,0.3828,0.2809,19843
--- WEIGHTED AVG ---,0.4933,0.4138,0.414,19843
