Class,Precision,Recall,F1-Score,Support
Non-Violent,0.8948,0.7332,0.806,17391
Violent,0.1722,0.3916,0.2392,2464
--- MACRO AVG ---,0.5335,0.5624,0.5226,19855
--- WEIGHTED AVG ---,0.8051,0.6908,0.7356,19855
