feature,importance
latitude,0.1077113321247907
longitude,0.10508751510891697
month,0.09670805865482224
dayofweek,0.0822886838023169
hour,0.07286741035450386
time_risk_score,0.06108842877921608
combined_risk_score,0.05316431437852497
grid_risk_score,0.052560139330311534
recurrence_risk_score,0.04969535081068049
prevention_effectiveness,0.04886917135778486
geo_grid,0.04738082603325637
resource_intensity_score,0.04374953877119818
time_adjusted_severity,0.03147866597927344
location_adjusted_impact,0.03134147381165449
neighborhood_risk_score,0.02972800208029737
is_weekend,0.02837447782727499
neigh_enc,0.024173081951961734
is_rush_hour,0.023092328483684598
is_night,0.01064120035953005
category_impact,0.0
category_severity,0.0
