Class,Precision,Recall,F1-Score,Support
Administrative,0.5795,0.2679,0.3664,9738
Drugs,0.1804,0.7423,0.2903,648
Property Crime,0.4922,0.6234,0.5501,7481
Public Order,0.0379,0.1188,0.0574,421
Violence,0.1298,0.1569,0.1421,1555
--- MACRO AVG ---,0.284,0.3819,0.2813,19843
--- WEIGHTED AVG ---,0.4868,0.4056,0.4091,19843
